名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
荣盛香榭兰庭二期 3室1厅 西北,东客站,3室1厅,73.47平米,西北,精装,低楼层(共23层),2016年建,板楼,159万,"21,642元/平",27人关注,7个月以前发布
建发金沙里 6室1厅 南,金沙,6室1厅,197.61平米,南,精装,高楼层(共30层),2012年建,板楼,650万,"32,894元/平",1人关注,4天以前发布
花样年香门第北区 5室2厅 南,郫县城区,5室2厅,144.78平米,南,毛坯,中楼层(共34层),2019年建,塔楼,215万,"14,851元/平",0人关注,2天以前发布
优客联邦三期 3室1厅 东南,丽都,3室1厅,87.92平米,东南,毛坯,中楼层(共18层),2012年建,板楼,198万,"22,521元/平",3人关注,8天以前发布
兰桂香林 2室2厅 南,郫县城区,2室2厅,84.34平米,南,毛坯,低楼层(共6层),2008年建,板楼,45万,"5,336元/平",1人关注,6天以前发布
建信奥林匹克花园 1室1厅 北,光华大道沿线,1室1厅,26.84平米,北,简装,高楼层(共9层),2006年建,板塔结合,20.5万,"7,638元/平",335人关注,一年前发布
汇阳新村 3室2厅 南 西南,营门口,3室2厅,100.32平米,南 西南,简装,中楼层(共6层),2003年建,板楼,109万,"10,866元/平",63人关注,一年前发布
中粮香颂丽都 3室2厅 西北,丽都,3室2厅,88.88平米,西北,精装,中楼层(共19层),2015年建,板楼,252万,"28,353元/平",1人关注,7天以前发布
澳深花园 4室1厅 东南,猛追湾,4室1厅,186.53平米,东南,简装,高楼层(共10层),2001年建,板楼,240万,"12,867元/平",4人关注,7天以前发布
狮子巷60号 3室1厅 东南,草市街,3室1厅,59.78平米,东南,毛坯,低楼层(共8层),1995年建,板塔结合,73.8万,"12,346元/平",0人关注,3天以前发布
保利熙公馆 3室2厅 东南,郫县万达,3室2厅,121.6平米,东南,精装,中楼层(共31层),2019年建,塔楼,149万,"12,254元/平",0人关注,8天以前发布
翠拥天地 3室1厅 南,华阳,3室1厅,114.83平米,南,精装,5层,2005年建,板楼,205万,"17,853元/平",1人关注,7天以前发布
锦城名都 3室1厅 东南,营门口,3室1厅,95.7平米,东南,简装,中楼层(共33层),2009年建,板塔结合,182万,"19,018元/平",2人关注,6天以前发布
巴黎都市 3室2厅 南,航空港,3室2厅,83.72平米,南,毛坯,低楼层(共18层),2015年建,塔楼,135万,"16,126元/平",0人关注,5天以前发布
棕南公寓 3室2厅 南,棕北,3室2厅,143.02平米,南,简装,高楼层(共10层),2000年建,板楼,270万,"18,879元/平",1人关注,5天以前发布
东洪广厦 3室1厅 东南,三圣乡,3室1厅,87.34平米,东南,精装,低楼层(共33层),2013年建,板塔结合,135万,"15,457元/平",4人关注,7天以前发布
万科翡翠公园 4室1厅 南,南湖,4室1厅,121.57平米,南,精装,低楼层(共35层),2019年建,板楼,315万,"25,911元/平",6人关注,6天以前发布
顶峰水岸汇景 3室1厅 东北,营门口,3室1厅,133.07平米,东北,毛坯,中楼层(共33层),2011年建,板塔结合,289万,"21,718元/平",2人关注,4天以前发布
温馨苑 3室1厅 西北,龙泉驿城区,3室1厅,47.09平米,西北,简装,高楼层(共7层),2005年建,板楼,46万,"9,769元/平",3人关注,7天以前发布
花桥雅苑 3室1厅 东南,五津,3室1厅,106.58平米,东南,毛坯,中楼层(共7层),2018年建,板塔结合,56.8万,"5,330元/平",0人关注,4天以前发布
天鹅湖北苑 3室1厅 东南 南,新会展,3室1厅,88.57平米,东南 南,简装,高楼层(共31层),2007年建,板塔结合,156万,"17,614元/平",2人关注,5天以前发布
华都云景台 3室1厅 东南,万年场,3室1厅,94.17平米,东南,精装,低楼层(共42层),2018年建,塔楼,230万,"24,424元/平",1人关注,3天以前发布
逸都国际 3室1厅 北,大源,3室1厅,117.6平米,北,简装,高楼层(共18层),2011年建,板塔结合,345万,"29,337元/平",0人关注,4天以前发布
中铁西郡英华二期 3室2厅 东南,红光,3室2厅,89.83平米,东南,精装,低楼层(共31层),2013年建,板塔结合,96.8万,"10,776元/平",1人关注,5天以前发布
蓝光金双楠一期 3室2厅 东 东南,草金立交,3室2厅,72.67平米,东 东南,精装,中楼层(共25层),2015年建,板塔结合,167万,"22,981元/平",0人关注,5天以前发布
中铁城锦南汇 3室1厅 东,中德,3室1厅,89.21平米,东,精装,中楼层(共39层),2016年建,板塔结合,215万,"24,101元/平",0人关注,3天以前发布
丽景华庭二期 2室1厅 南,外双楠,2室1厅,94.75平米,南,简装,低楼层(共12层),2006年建,板楼,154万,"16,254元/平",0人关注,4天以前发布
米兰香洲 3室2厅 西南,外金沙,3室2厅,97.21平米,西南,精装,高楼层(共18层),2007年建,塔楼,196万,"20,163元/平",0人关注,9天以前发布
憩园公寓 3室2厅 东南,花牌坊,3室2厅,135.65平米,东南,简装,中楼层(共7层),2000年建,板塔结合,136万,"10,026元/平",3人关注,12天以前发布
华都美林湾 1室0厅 西南,三圣乡,1室0厅,36.56平米,西南,精装,高楼层(共33层),2012年建,塔楼,72万,"19,694元/平",0人关注,6天以前发布
水韵尚城 3室1厅 东南,温江大学城,3室1厅,148.52平米,东南,毛坯,低楼层(共25层),2009年建,板塔结合,134万,"9,023元/平",2人关注,12天以前发布
保利金香槟 3室2厅 西南,外金沙,3室2厅,89.18平米,西南,简装,低楼层(共18层),2012年建,板塔结合,189万,"21,194元/平",2人关注,15天以前发布
香槟花园 3室2厅 南 北,优品道,3室2厅,123.66平米,南 北,简装,低楼层(共6层),2005年建,板楼,260万,"21,026元/平",4人关注,12天以前发布
万基金蓝湾 4室2厅 西南 西,红光,4室2厅,132.15平米,西南 西,精装,高楼层(共24层),2009年建,板塔结合,100万,"7,568元/平",0人关注,12天以前发布
首创国际城一期 2室1厅 南,成渝立交,2室1厅,83.69平米,南,简装,低楼层(共18层),2010年建,塔楼,132万,"15,773元/平",2人关注,4天以前发布
锦城国际 3室2厅 南 北,彭州,3室2厅,105.08平米,南 北,精装,高楼层(共27层),2020年建,暂无数据,115万,"10,945元/平",0人关注,15天以前发布
温哥华花园四期 2室1厅 南,航空港,2室1厅,59.84平米,南,精装,中楼层(共16层),2013年建,塔楼,81万,"13,537元/平",0人关注,5天以前发布
华润凤凰城一期 3室1厅 东北,大源,3室1厅,134.85平米,东北,精装,低楼层(共27层),2013年建,板塔结合,430万,"31,888元/平",2人关注,10天以前发布
御龙山二期 3室2厅 西,万年场,3室2厅,89.6平米,西,简装,低楼层(共49层),2017年建,板塔结合,204万,"22,768元/平",1人关注,14天以前发布
上霖东方 2室2厅 东南,万年场,2室2厅,71.48平米,东南,简装,中楼层(共24层),2010年建,板塔结合,128万,"17,908元/平",2人关注,9天以前发布
上锦颐园佳境 4室2厅 南,高新西,4室2厅,127.43平米,南,精装,高楼层(共26层),2012年建,板塔结合,138万,"10,830元/平",1人关注,8天以前发布
香澜半岛 3室2厅 东南,驷马桥,3室2厅,80.39平米,东南,精装,高楼层(共21层),2016年建,板塔结合,165万,"20,525元/平",2人关注,9天以前发布
锦巷兰台 4室2厅 东南,成外,4室2厅,130.9平米,东南,毛坯,26层,2018年建,板塔结合,220万,"16,807元/平",0人关注,9天以前发布
天府欧城 3室1厅 东北,青白江,3室1厅,86.86平米,东北,精装,中楼层(共26层),2017年建,塔楼,70.5万,"8,117元/平",0人关注,8天以前发布
蓝光香瑞湖 3室2厅 南,光华大道沿线,3室2厅,106.99平米,南,毛坯,高楼层(共24层),2009年建,板楼,142万,"13,273元/平",0人关注,11天以前发布
伊泰天骄 4室1厅 南 北,攀成钢,4室1厅,332.71平米,南 北,精装,高楼层(共26层),2016年建,板楼,1680万,"50,495元/平",0人关注,11天以前发布
佳乐国际城二期 3室2厅 南,毗河,3室2厅,99.59平米,南,精装,中楼层(共32层),2012年建,塔楼,126万,"12,652元/平",3人关注,8天以前发布
四季康城 3室1厅 东北,龙泉驿城区,3室1厅,89.42平米,东北,简装,高楼层(共34层),2013年建,板塔结合,105万,"11,743元/平",4人关注,9天以前发布
正成南郡 3室2厅 西南,中德,3室2厅,105.85平米,西南,精装,高楼层(共17层),2019年建,板塔结合,245万,"23,146元/平",0人关注,10天以前发布
中国铁建北湖国际城二期 3室1厅 南,龙潭寺,3室1厅,83.21平米,南,精装,中楼层(共35层),2018年建,板塔结合,139万,"16,705元/平",0人关注,7天以前发布
空港晶座 3室2厅 南 北,航空港,3室2厅,124.06平米,南 北,毛坯,高楼层(共24层),2012年建,塔楼,155万,"12,494元/平",2人关注,13天以前发布
中信未来城北区 3室2厅 西北,郫县城区,3室2厅,65.87平米,西北,精装,高楼层(共33层),2013年建,塔楼,101万,"15,334元/平",0人关注,11天以前发布
新港国际花园 3室2厅 东,中和,3室2厅,90.09平米,东,简装,高楼层(共31层),2011年建,塔楼,150万,"16,651元/平",4人关注,9天以前发布
明信仕林府 3室2厅 西南,温江大学城,3室2厅,83.98平米,西南,毛坯,低楼层(共26层),2017年建,板塔结合,111万,"13,218元/平",1人关注,9天以前发布
中南海棠集 4室2厅 南,天回镇,4室2厅,155.6平米,南,毛坯,中楼层(共12层),2019年建,塔楼,268万,"17,224元/平",0人关注,12天以前发布
交大万嘉樟菊园 3室2厅 东南,犀浦,3室2厅,117.92平米,东南,简装,高楼层(共26层),2014年建,板塔结合,113.5万,"9,626元/平",0人关注,14天以前发布
槐树苑二期宏苑 3室2厅 北 南,万年场,3室2厅,82.05平米,北 南,简装,中楼层(共6层),2003年建,板楼,104万,"12,676元/平",4人关注,15天以前发布
华侨城纯水岸三期 3室1厅 南,华侨城,3室1厅,88.55平米,南,精装,低楼层(共33层),2013年建,塔楼,243万,"27,443元/平",0人关注,15天以前发布
华润橡树湾B区 2室1厅 西北,橡树湾,2室1厅,51.34平米,西北,简装,高楼层(共34层),2013年建,板塔结合,84万,"16,362元/平",0人关注,7天以前发布
鲁能公馆2区 3室1厅 西,万年场,3室1厅,95.14平米,西,精装,中楼层(共32层),2018年建,塔楼,278万,"29,221元/平",3人关注,14天以前发布
怡和新城E区 3室2厅 东北,龙泉驿城区,3室2厅,110.23平米,东北,精装,高楼层(共18层),2000年建,塔楼,120万,"10,887元/平",0人关注,10天以前发布
新华园 2室2厅 东南,新华公园,2室2厅,96.3平米,东南,简装,低楼层(共7层),2000年建,板楼,120万,"12,462元/平",0人关注,4天以前发布
金色花园一期 3室2厅 东南,红牌楼,3室2厅,76.09平米,东南,精装,低楼层(共7层),2003年建,板楼,140万,"18,400元/平",1人关注,12天以前发布
锦绣华都 3室2厅 南,东升镇,3室2厅,102.34平米,南,精装,低楼层(共11层),2005年建,塔楼,124万,"12,117元/平",10人关注,12天以前发布
蓝光金悦金沙 3室2厅 西北 西南,高家庄,3室2厅,82.79平米,西北 西南,毛坯,中楼层(共21层),2017年建,板塔结合,144万,"17,394元/平",1人关注,15天以前发布
万科金色城市 3室2厅 东南,大面,3室2厅,85.97平米,东南,精装,高楼层(共35层),2016年建,板塔结合,168万,"19,542元/平",0人关注,12天以前发布
东立国际花城 1室1厅 南,蛟龙港,1室1厅,53.62平米,南,精装,高楼层(共14层),2011年建,板塔结合,63.5万,"11,843元/平",1人关注,6天以前发布
美好家园 3室2厅 东南,航空港,3室2厅,129.26平米,东南,精装,中楼层(共14层),2013年建,板塔结合,214万,"16,556元/平",0人关注,15天以前发布
远大林语城 3室2厅 南,蛟龙港,3室2厅,90.77平米,南,简装,中楼层(共11层),2014年建,板楼,156.5万,"17,242元/平",0人关注,14天以前发布
置信丽都花园城C区 3室2厅 西南,新双楠,3室2厅,103.37平米,西南,精装,低楼层(共13层),2006年建,板塔结合,186万,"17,994元/平",10人关注,10天以前发布
天空城 2室2厅 西北,万年场,2室2厅,87.65平米,西北,精装,高楼层(共32层),2010年建,板塔结合,146万,"16,658元/平",0人关注,7天以前发布
天朗锦邸 1室1厅 西北,武侯祠,1室1厅,52.19平米,西北,简装,低楼层(共39层),2015年建,板楼,113万,"21,652元/平",0人关注,6天以前发布
尚林家园 2室1厅 南,犀浦,2室1厅,79.07平米,南,简装,低楼层(共26层),2009年建,板楼,79万,"9,992元/平",0人关注,7天以前发布
合能四季城二期 3室2厅 东南,犀浦,3室2厅,78.9平米,东南,精装,高楼层(共28层),2013年建,板塔结合,113万,"14,322元/平",0人关注,16天以前发布
电子科大东院 2室1厅 东南,八里小区,2室1厅,78.13平米,东南,简装,高楼层(共6层),2000年建,板楼,95万,"12,160元/平",1人关注,15天以前发布
林溪美城 3室2厅 东南,阳光城,3室2厅,88.58平米,东南,精装,高楼层(共18层),2016年建,板塔结合,82.8万,"9,348元/平",0人关注,7天以前发布
万科五龙山九墅 3室1厅 南,毗河,3室1厅,135.27平米,南,精装,低楼层(共21层),2013年建,板塔结合,160万,"11,829元/平",0人关注,7天以前发布
麦田国际社区 4室2厅 北,新都城区,4室2厅,110.29平米,北,简装,26层,2016年建,板塔结合,118万,"10,700元/平",0人关注,7天以前发布
沙子堰西巷4号 3室2厅 东,芳草,3室2厅,79.19平米,东,精装,中楼层(共7层),2000年建,板楼,88万,"11,113元/平",1人关注,7天以前发布
保利城四期中央郡 3室2厅 南,大丰,3室2厅,98.66平米,南,精装,低楼层(共30层),2017年建,板塔结合,160万,"16,218元/平",0人关注,5天以前发布
雅居乐十里花巷 4室2厅 南,雅居乐,4室2厅,137.89平米,南,简装,中楼层(共33层),2016年建,板塔结合,166万,"12,039元/平",1人关注,6天以前发布
怡华居 2室1厅 东南,红光,2室1厅,72.32平米,东南,简装,高楼层(共6层),2006年建,板楼,53万,"7,329元/平",2人关注,18天以前发布
锦龙云府 1室1厅 东,广都,1室1厅,50.82平米,东,精装,中楼层(共34层),2017年建,板塔结合,124万,"24,400元/平",1人关注,15天以前发布
双顺路4号 2室1厅 南 北,府南新区,2室1厅,64.66平米,南 北,毛坯,高楼层(共7层),2000年建,板楼,81万,"12,528元/平",0人关注,12天以前发布
金枫名苑 2室1厅 西北,成外,2室1厅,63.32平米,西北,精装,中楼层(共18层),2013年建,板楼,80万,"12,635元/平",1人关注,15天以前发布
温哥华花园 2室1厅 东,航空港,2室1厅,89.73平米,东,精装,低楼层(共15层),2007年建,塔楼,117万,"13,040元/平",1人关注,15天以前发布
西华门街8号 2室1厅 南,宽窄巷子,2室1厅,73.53平米,南,毛坯,中楼层(共5层),2000年建,板楼,155万,"21,080元/平",5人关注,9天以前发布
金林俊景 2室1厅 东,五大花园,2室1厅,78.21平米,东,简装,17层,2009年建,板塔结合,132万,"16,878元/平",0人关注,11天以前发布
西锦国际一期 2室1厅 东南,花牌坊,2室1厅,69.76平米,东南,简装,中楼层(共25层),2009年建,塔楼,122万,"17,489元/平",6人关注,10天以前发布
博闻时代锦汇 2室1厅 东南,八里小区,2室1厅,70.97平米,东南,精装,中楼层(共17层),2017年建,塔楼,128万,"18,036元/平",3人关注,13天以前发布
元益花园 3室1厅 南 北,外光华,3室1厅,76.3平米,南 北,简装,中楼层(共21层),2014年建,塔楼,132万,"17,301元/平",1人关注,9天以前发布
水碾河南三街41号 3室1厅 东南,水碾河,3室1厅,67.05平米,东南,简装,低楼层(共7层),1995年建,板楼,80万,"11,932元/平",0人关注,8天以前发布
德商御府天骄 3室2厅 西南,南湖,3室2厅,107.41平米,西南,精装,低楼层(共30层),2020年建,板塔结合,270万,"25,138元/平",103人关注,13天以前发布
西锦国际一期 1室1厅 东南,花牌坊,1室1厅,46.48平米,东南,精装,低楼层(共25层),2009年建,塔楼,78万,"16,782元/平",2人关注,10天以前发布
蓉铁花园 2室1厅 南,驷马桥,2室1厅,86.7平米,南,简装,高楼层(共18层),2009年建,板楼,108万,"12,457元/平",0人关注,11天以前发布
成都后花园三期 6室3厅 西南,成外,6室3厅,213.57平米,西南,精装,低楼层(共25层),2015年建,板塔结合,400万,"18,730元/平",5人关注,9个月以前发布
外滩 3室2厅 西北,九眼桥,3室2厅,126.22平米,西北,简装,低楼层(共41层),2009年建,板塔结合,265万,"20,996元/平",9人关注,2个月以前发布
宇众曼城 3室1厅 东南,红光,3室1厅,74.93平米,东南,精装,高楼层(共32层),2013年建,塔楼,75万,"10,010元/平",24人关注,一年前发布
荆竹小区4号院 2室1厅 南 北,驷马桥,2室1厅,74.58平米,南 北,简装,高楼层(共6层),2000年建,板楼,69万,"9,252元/平",4人关注,30天以前发布
昭青怡园B区 3室1厅 南,驷马桥,3室1厅,97.09平米,南,简装,高楼层(共7层),2001年建,塔楼,88万,"9,064元/平",2人关注,30天以前发布
佳兆业君汇上品 3室2厅 南,南湖,3室2厅,89.25平米,南,精装,高楼层(共33层),2013年建,板塔结合,178万,"19,944元/平",0人关注,25天以前发布
二环路西三段24号 3室1厅 西北,一品天下,3室1厅,76.14平米,西北,毛坯,中楼层(共7层),1999年建,暂无数据,84万,"11,033元/平",0人关注,1个月以前发布
优品尚东三期 3室2厅 西南 西,万年场,3室2厅,88.72平米,西南 西,简装,低楼层(共33层),2015年建,板塔结合,172万,"19,387元/平",2人关注,25天以前发布
罗兰小镇 3室1厅 西南,理工大,3室1厅,84.16平米,西南,简装,低楼层(共18层),2008年建,板塔结合,139万,"16,517元/平",0人关注,22天以前发布
中信未来城南区 4室2厅 西南,郫县城区,4室2厅,117.74平米,西南,精装,高楼层(共33层),2013年建,板塔结合,139万,"11,806元/平",1人关注,1个月以前发布
中海右岸二期 3室2厅 东 东南,华府,3室2厅,87.27平米,东 东南,精装,中楼层(共33层),2017年建,塔楼,205万,"23,491元/平",5人关注,20天以前发布
四季康城 3室1厅 西南,龙泉驿城区,3室1厅,89.11平米,西南,精装,中楼层(共34层),2013年建,板塔结合,124.6万,"13,983元/平",0人关注,22天以前发布
世家东部时空 3室2厅 西北,八里小区,3室2厅,93.35平米,西北,精装,高楼层(共27层),2013年建,塔楼,159万,"17,033元/平",2人关注,26天以前发布
朗基御今缘 4室2厅 南,大源,4室2厅,118.27平米,南,精装,低楼层(共27层),2018年建,板塔结合,430万,"36,358元/平",4人关注,21天以前发布
中铁奥维尔二期 3室2厅 东南,郫县城区,3室2厅,88.29平米,东南,其他,21层,2019年建,塔楼,74万,"8,382元/平",1人关注,28天以前发布
宏达世纪锦城 3室2厅 北,海洋公园,3室2厅,123.33平米,北,精装,中楼层(共32层),2012年建,板塔结合,270万,"21,893元/平",6人关注,22天以前发布
公园1号 3室2厅 东,红光,3室2厅,77.07平米,东,精装,高楼层(共32层),2016年建,板塔结合,95万,"12,327元/平",0人关注,17天以前发布
麦田国际社区 3室2厅 南,新都城区,3室2厅,87.22平米,南,精装,26层,2016年建,板塔结合,108万,"12,383元/平",2人关注,24天以前发布
中信未来城南区 4室2厅 西南,郫县城区,4室2厅,120.06平米,西南,精装,中楼层(共33层),2013年建,塔楼,155万,"12,911元/平",3人关注,28天以前发布
书香府邸二期英伦 3室1厅 南,成外,3室1厅,111.78平米,南,精装,高楼层(共16层),2011年建,板楼,156万,"13,956元/平",0人关注,23天以前发布
四季映像 3室1厅 东南,大面,3室1厅,76.04平米,东南,精装,低楼层(共34层),2012年建,板塔结合,113万,"14,861元/平",1人关注,19天以前发布
南湖国际社区一期 3室2厅 北 东北,南湖,3室2厅,114.74平米,北 东北,简装,低楼层(共34层),2010年建,塔楼,190万,"16,560元/平",4人关注,31天以前发布
香澜半岛 3室1厅 东南,驷马桥,3室1厅,86.84平米,东南,精装,中楼层(共21层),2016年建,板塔结合,169.9万,"19,565元/平",1人关注,31天以前发布
时代悦城 3室1厅 东南,郫县城区,3室1厅,70.41平米,东南,精装,中楼层(共31层),2016年建,板塔结合,72万,"10,226元/平",1人关注,27天以前发布
景茂雍水岸 3室2厅 南,文星镇,3室2厅,109.17平米,南,精装,高楼层(共22层),2015年建,塔楼,178.88万,"16,386元/平",20人关注,19天以前发布
交大万嘉樟菊园 3室2厅 东北,犀浦,3室2厅,123.26平米,东北,毛坯,高楼层(共26层),2014年建,板塔结合,109万,"8,844元/平",2人关注,24天以前发布
汇融悉尼湾达令港 3室2厅 西南,大丰,3室2厅,108.42平米,西南,精装,高楼层(共33层),2013年建,板塔结合,145万,"13,374元/平",0人关注,26天以前发布
双都会 3室2厅 东,东升镇,3室2厅,109.22平米,东,精装,中楼层(共13层),2013年建,塔楼,205万,"18,770元/平",1人关注,10天以前发布
中铁瑞景颐城 3室2厅 南,外光华,3室2厅,94.71平米,南,精装,高楼层(共21层),2013年建,板塔结合,255万,"26,925元/平",2人关注,12天以前发布
鱼凫阳光 3室1厅 南,温江老城,3室1厅,84.98平米,南,精装,中楼层(共18层),2007年建,板塔结合,69.5万,"8,179元/平",4人关注,7天以前发布
嘉瑞国际 3室2厅 东南,花都大道,3室2厅,113.65平米,东南,精装,高楼层(共27层),2012年建,板塔结合,128万,"11,263元/平",3人关注,12天以前发布
晶蓝半岛二期 4室2厅 东南 西北,九眼桥,4室2厅,168.4平米,东南 西北,精装,低楼层(共26层),2008年建,板塔结合,498万,"29,573元/平",0人关注,12天以前发布
人居都市阳光 3室2厅 东北,蛟龙港,3室2厅,139.22平米,东北,精装,中楼层(共14层),2010年建,板塔结合,192万,"13,792元/平",0人关注,4天以前发布
瑞安城中汇 3室2厅 东南,金牛万达,3室2厅,130.79平米,东南,精装,高楼层(共38层),2015年建,塔楼,315万,"24,085元/平",0人关注,7天以前发布
东苑C区 3室2厅 南 北,东苑,3室2厅,140.59平米,南 北,精装,低楼层(共32层),2010年建,板塔结合,369万,"26,247元/平",0人关注,7天以前发布
东苑A区 3室1厅 南,东苑,3室1厅,104.75平米,南,简装,中楼层(共32层),2008年建,板塔结合,298万,"28,449元/平",1人关注,3天以前发布
元益花园 3室2厅 西,外光华,3室2厅,111.85平米,西,精装,高楼层(共21层),2014年建,板楼,188.6万,"16,862元/平",0人关注,3天以前发布
顺江新苑B区 3室1厅 南 北,武侯立交,3室1厅,88.89平米,南 北,精装,中楼层(共6层),2003年建,板楼,105万,"11,813元/平",0人关注,6天以前发布
华西花园一期 3室2厅 东北,万年场,3室2厅,99.75平米,东北,简装,高楼层(共16层),2010年建,板塔结合,145万,"14,537元/平",4人关注,8天以前发布
南城都汇汇尚园 4室2厅 南,市一医院,4室2厅,144.1平米,南,精装,中楼层(共22层),2014年建,板塔结合,490万,"34,005元/平",1人关注,5天以前发布
维港 2室2厅 东,丽都,2室2厅,69.37平米,东,精装,中楼层(共18层),2011年建,板楼,150万,"21,624元/平",0人关注,6天以前发布
棠府锦绣城 3室2厅 南,蛟龙港,3室2厅,77.89平米,南,精装,高楼层(共14层),2015年建,板塔结合,145万,"18,616元/平",0人关注,4天以前发布
曼哈顿一期 2室1厅 南,航空路,2室1厅,129.81平米,南,简装,低楼层(共15层),2003年建,板塔结合,160万,"12,326元/平",0人关注,28天以前发布
新鸿路119号 2室1厅 北 南,猛追湾,2室1厅,63.22平米,北 南,精装,低楼层(共6层),2001年建,板楼,98万,"15,502元/平",10人关注,30天以前发布
东山国际新城H区三期 3室2厅 东南,东山,3室2厅,90.71平米,东南,精装,高楼层(共32层),2015年建,板塔结合,119.8万,"13,207元/平",0人关注,17天以前发布
新鸿南二巷18号 2室1厅 西南,猛追湾,2室1厅,57.45平米,西南,精装,中楼层(共6层),1997年建,板楼,73.8万,"12,846元/平",0人关注,24天以前发布
国际花园 2室2厅 南,衣冠庙,2室2厅,67.28平米,南,简装,低楼层(共15层),2005年建,板塔结合,120万,"17,836元/平",3人关注,23天以前发布
檀香山 3室1厅 东南,高朋,3室1厅,97.56平米,东南,精装,18层,2009年建,板塔结合,205万,"21,013元/平",2人关注,23天以前发布
蓝光雍锦丽府 5室2厅 北 南,高朋,5室2厅,175.6平米,北 南,精装,低楼层(共16层),2020年建,暂无数据,540万,"30,752元/平",4人关注,1个月以前发布
远大林语城 2室1厅 南,蛟龙港,2室1厅,74.39平米,南,精装,高楼层(共6层),2017年建,板楼,119万,"15,997元/平",0人关注,10天以前发布
双楠水岸 2室1厅 南,广福桥,2室1厅,82.63平米,南,简装,中楼层(共9层),2003年建,板塔结合,135万,"16,338元/平",0人关注,13天以前发布
交大靓典 2室1厅 东南,府南新区,2室1厅,81.5平米,东南,精装,中楼层(共6层),2003年建,塔楼,115万,"14,111元/平",2人关注,14天以前发布
德商御府天骄 3室2厅 西南,南湖,3室2厅,107.41平米,西南,精装,低楼层(共30层),2020年建,板塔结合,270万,"25,138元/平",103人关注,13天以前发布
东沙路社区 1室1厅 东南,驷马桥,1室1厅,57.06平米,东南,简装,低楼层(共7层),2003年建,板塔结合,58万,"10,165元/平",1人关注,13天以前发布
西锦国际一期 1室1厅 东南,花牌坊,1室1厅,46.48平米,东南,精装,低楼层(共25层),2009年建,塔楼,78万,"16,782元/平",2人关注,10天以前发布
繁江二巷 2室1厅 南,彭州,2室1厅,55.3平米,南,精装,中楼层(共4层),2011年建,板塔结合,27.2万,"4,919元/平",0人关注,10天以前发布
成都合院公园里 2室1厅 南,高新西,2室1厅,85.89平米,南,简装,中楼层(共18层),2015年建,板塔结合,125万,"14,554元/平",1人关注,9天以前发布
佰客郡 2室1厅 东南,航空港,2室1厅,67.49平米,东南,精装,高楼层(共16层),2011年建,板楼,85万,"12,595元/平",0人关注,9天以前发布
舜和家园A区 2室1厅 南,万年场,2室1厅,65.18平米,南,简装,中楼层(共28层),2009年建,塔楼,78万,"11,967元/平",3人关注,8天以前发布
爱立方 2室1厅 东,毗河,2室1厅,67.37平米,东,精装,中楼层(共18层),2012年建,塔楼,85万,"12,617元/平",2人关注,13天以前发布
格凌兰 2室1厅 西南,温江新城,2室1厅,65.39平米,西南,精装,低楼层(共32层),2016年建,板塔结合,92万,"14,070元/平",2人关注,12天以前发布
蜀南春郡 2室2厅 西南,华阳,2室2厅,81.22平米,西南,精装,高楼层(共32层),2020年建,板塔结合,158万,"19,454元/平",2人关注,11天以前发布
阳光365 1室0厅 东南,盐市口,1室0厅,33.11平米,东南,简装,中楼层(共18层),2005年建,塔楼,145万,"43,794元/平",0人关注,15天以前发布
爱丁郡院 2室1厅 东南,川师,2室1厅,84.91平米,东南,简装,低楼层(共18层),2009年建,塔楼,155万,"18,255元/平",2人关注,9天以前发布
阳光100米娅中心一期 1室1厅 西南 西,万年场,1室1厅,44.61平米,西南 西,精装,中楼层(共27层),2014年建,板塔结合,96万,"21,520元/平",4人关注,8天以前发布
阳光100米娅中心一期 1室1厅 北,万年场,1室1厅,45.78平米,北,精装,中楼层(共32层),2014年建,板塔结合,73.5万,"16,056元/平",1人关注,10天以前发布
洲际银海湾 2室1厅 南,光华大道沿线,2室1厅,77.75平米,南,简装,高楼层(共32层),2016年建,板塔结合,118万,"15,177元/平",2人关注,8天以前发布
大华水映岛 2室2厅 东南,光华大道沿线,2室2厅,86.56平米,东南,简装,高楼层(共11层),2011年建,板塔结合,109万,"12,593元/平",0人关注,11天以前发布
元益花园 3室1厅 南 北,外光华,3室1厅,76.3平米,南 北,简装,中楼层(共21层),2014年建,塔楼,132万,"17,301元/平",1人关注,9天以前发布
格凌兰 2室1厅 东,温江新城,2室1厅,71.38平米,东,精装,中楼层(共32层),2016年建,板塔结合,118万,"16,532元/平",4人关注,12天以前发布
世纪光华 2室1厅 南,花都大道,2室1厅,86.67平米,南,简装,中楼层(共18层),2007年建,板塔结合,79万,"9,116元/平",0人关注,12天以前发布
朗诗西溪里 2室1厅 西,府南新区,2室1厅,53.62平米,西,精装,33层,2016年建,板塔结合,147万,"27,416元/平",0人关注,8天以前发布
知贤坊 1室1厅 西,光华泡小,1室1厅,44.77平米,西,精装,高楼层(共18层),2009年建,塔楼,110万,"24,571元/平",2人关注,14天以前发布
光华杏林 1室1厅 南,外光华,1室1厅,50平米,南,精装,高楼层(共21层),2010年建,塔楼,62万,"12,400元/平",4人关注,12天以前发布
浣花小区 1室1厅 南,浣花溪,1室1厅,50.91平米,南,简装,中楼层(共6层),2000年建,板楼,68万,"13,357元/平",3人关注,8天以前发布
